cap,strategy,gen,pop,best_f,mean_f,diversity,cap_used
20,fixed,70,20,1,0.9150578722377372,0.16554620974287915,20
20,fixed,71,20,1,0.8995360023166841,0.16709837147054596,20
20,fixed,72,20,1,0.9365753634110939,0.11127286855086176,20
20,fixed,73,20,1,0.9117081797114214,0.15205771726038028,20
20,fixed,74,20,1,0.8920759110393849,0.1796365639085723,20
20,fixed,75,20,1,0.905141594629457,0.16562588164739872,20
20,fixed,76,20,1,0.9048983274540514,0.16376010583123782,20
20,fixed,77,20,1,0.896320163252588,0.18604934193431488,20
20,fixed,78,20,1,0.8958878082834932,0.1798491637716923,20
20,fixed,79,20,1,0.9027919579359622,0.15997164868800806,20
20,fixed,80,20,1,0.9158808531119096,0.14891252758748755,20
20,fixed,81,20,1,0.9255816775053478,0.11636213360575676,20
20,fixed,82,20,1,0.8956866033547325,0.1575845131098994,20
20,fixed,83,20,1,0.9014946302900617,0.16636736945552186,20
20,fixed,84,20,1,0.8584812973160737,0.23487059850895645,20
20,fixed,85,20,1,0.8514561392112714,0.22001363293329773,20
20,fixed,86,20,1,0.8880727068323413,0.15932498444696386,20
20,fixed,87,20,1,0.9162230307258492,0.159562462330412,20
20,fixed,88,20,1,0.912340236626048,0.1509755230934644,20
20,fixed,89,20,1,0.9095880435730421,0.1562201780178651,20
20,fixed,90,20,1,0.9206891041048605,0.15478962645707878,20
20,fixed,91,20,1,0.933081409432606,0.12748132663453293,20
20,fixed,92,20,1,0.938640720484354,0.1205523929750956,20
20,fixed,93,20,1,0.9390772139106158,0.13259317263778517,20
20,fixed,94,20,1,0.9137455007765508,0.18073003284284053,20
20,fixed,95,20,1,0.913199906804914,0.1591211306398385,20
20,fixed,96,20,1,0.8998012850748525,0.17089854629211482,20
20,fixed,97,20,1,0.8968313419126902,0.15808912612800174,20
20,fixed,98,20,1,0.9264140980226075,0.14298086732614257,20
20,fixed,99,20,1,0.9312331669349609,0.11790339666665647,20
20,dynamic,0,20,0.44205836935353093,0.10835071515680036,0.7379343115027971,20
20,dynamic,1,20,0.44205836935353093,0.15907203911912746,0.6082085972224635,20
20,dynamic,2,20,0.5022169127909317,0.20785399614859773,0.5760347690080173,20
20,dynamic,3,20,0.5022169127909317,0.21929164598644574,0.5973008917939193,20
20,dynamic,4,20,0.5204976344594858,0.3148699624005916,0.4688155749435215,20
20,dynamic,5,20,0.5204976344594858,0.39021214026510903,0.39629838165579706,20
20,dynamic,6,20,0.5204976344594858,0.3881492976364517,0.35137412080518693,20
20,dynamic,7,20,0.5256947429339465,0.4002851065734155,0.3811320371283652,20
20,dynamic,8,20,0.7452699227936475,0.4469685202767809,0.34080051252495713,20
20,dynamic,9,20,0.8487747300760604,0.5389604357290395,0.31969312131120775,20
20,dynamic,10,20,0.9739071480939511,0.6120413526395432,0.32776763243512697,20
20,dynamic,11,20,0.9739071480939511,0.6661506531006103,0.3399308708931171,20
20,dynamic,12,20,0.9739071480939511,0.7435991205942339,0.2694952304910239,20
20,dynamic,13,20,0.9920484352878284,0.823989792210239,0.22553805351479833,20
20,dynamic,14,20,1,0.8646864681390689,0.1650490974465908,20
20,dynamic,15,20,1,0.8741171999738213,0.15877963096553285,20
